recordId	period	category	bucket	action	confidence	note	heading	headingHeb	kimaId	kimaRom	kimaHeb	movedKm	nliCoords	kimaCoords	n034	src034	decision	decisionNote	nliWd	kimaWd	sameWd	featureType	featureEvidence	extentKm	nliWdLabel	kimaWdLabel	nliWdCoord	kimaWdCoord	dNliWd_Nli	dNliWd_Kima	dKimaWd_Kima	dKimaWd_Nli	nliWdNameOk	kimaWdNameOk	nliWdSrc	kimaWdSrc	fixedNliCoords	fix034	bboxHalfDiagKm
987007562251505171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($e 005.359371 -> 005.0359371, $f 044.696160 -> 044.0696160); corrected centre is 0.9 km from Kima	Monteux (France)	מונטה (צרפת)	13017	Monteux (France)	מונטה (צרפת)	36.5	[44.34629, 5.1479]	[44.03618, 4.9963]	1	gooearth					False																[44.03302, 4.98618]	$e 005.359371 -> 005.0359371, $f 044.696160 -> 044.0696160	42.4
987007560162605171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 053.529773 -> 053.0529773); corrected centre is 0.7 km from Kima	Slutsk (Belarus)	סלוצק (בלארוס)	104	Slutsk (Belarus)	סלוצק (בלארוס)	27.2	[53.26086, 27.54504]	[53.016666666667, 27.55]	1	gooearth			Q201243	Q201243	True	point	Q201243 P31=city of raion subordinance	5.6	Slutsk	Slutsk	[53.016666666667, 27.55]	[53.016666666667, 27.55]	27.2	0.0	0.0	27.2	True	True	024	WD	[53.02247, 27.54504]	$f 053.529773 -> 053.0529773	30.1
987007564350605171	20260728-20260803	location-move	extended-feature	apply-new	high	two points on one Q44754 P31=province of Argentina / electoral unit / sovereign state (extent ~626 km)	Buenos Aires (Argentina : Province)	בואנוס איירס (ארגנטינה : פרובינציה)	7921	Buenos Aires (Argentina : Province)	בואנוס איירס (ארגנטינה : פרובינציה)	106.6	[-36.15722, -60.56972]	[-37, -60]	1	gooearth			Q44754	Q44754	True	extended	Q44754 P31=province of Argentina / electoral unit / sovereign state; Kima LocationTypeId=2	625.8	Buenos Aires Province	Buenos Aires Province	[-37, -60]	[-37, -60]	106.6	0.0	0.0	106.6	True	True	024	WD			0.0
987007560104105171	20260728-20260803	location-move	extended-feature	apply-new	medium	two points on one Q32171899 P31=river (extent unknown)	Pattani (Thailand)	פאתני (תאילנד)	16953	Pattani (Thailand)	פאתני (תאילנד)	132.2	[6.86667, 101.26667]	[5.6833333333333, 101.15]	1	other				Q32171899	False	extended	Q32171899 P31=river			Ai Langkasuka		[5.6833333333333, 101.15]			0.0	132.2		True		WD			0.0
987007560247005171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($g 050.526260 -> 050.0526260); corrected centre is 0.0 km from Kima	Brody (Lʹvivsʹka oblastʹ, Ukraine)	ברודי (מחוז לביב, אוקראינה)	677	Brody (Ukraine)	ברודי (אוקראינה)	26.3	[50.31487, 25.15408]	[50.078055555556, 25.154166666667]	1	gooearth			Q465104	Q465104	True	point	Q465104 P31=city in Ukraine	3.3	Brody	Brody	[50.078055555556, 25.154166666667]	[50.078055555556, 25.154166666667]	26.3	0.0	0.0	26.3	True	True	024	WD	[50.07805, 25.15408]	$g 050.526260 -> 050.0526260	23.6
987007562382405171	20260728-20260803	location-move	homonym	research	medium	"two same-named entities: NLI Q1020261 ""Higüey"" vs Kima Q16892919 ""Jigüey Dam"""	Higüey (Dominican Republic)	היגואי (הרפובליקה הדומיניקנית)	14691	Higüey (Dominican Republic)	היגואי (רפובליקה דומיניקנית)	175.8	[18.61806, -68.71111]	[18.5466, -70.3773]	1	gooearth			Q1020261	Q16892919	False	point	Q1020261 P31=municipality of the Dominican Republic / city; Q16892919 P31=dam / hydroelectric power station	50.8	Higüey	Jigüey Dam	[18.618055555556, -68.711111111111]	[18.5466, -70.3773]	0.0	175.8	0.0	175.8	True	True	024	WD			0.0
987007564445805171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($d 004.991989 -> 004.0991989); corrected centre is 0.2 km from Kima	Lunel (France)	לוניל (צרפת)	12204	Lunel (France)	לוניל (צרפת)	35.7	[43.67802, 4.5793]	[43.676944444444, 4.1352777777778]	1	gooearth				Q318082	False	point	Q318082 P31=commune of France	5.5		Lunel		[43.676944444444, 4.1352777777778]			0.0	35.7		True		WD	[43.67802, 4.1329]	$d 004.991989 -> 004.0991989	33.5
987007562216305171	20260728-20260803	location-move	no-wd	research	low	no Wikidata id on either side	Sayyālah (Egypt)	סיילה (מצרים)	14181	Sayyālah (Egypt)	סיילה (מצרים)	886.4	[22.98333, 32.65]	[15.01667, 32.36667]	1	geonames					False																		0.0
987007560358905171	20260728-20260803	location-move	nli-coords-wrong	keep-existing+report	high	Wikidata Q2995176 is 0 km from Kima, 112 km from NLI	Radunʹ (Belarus)	רדין (בלארוס)	16171	Radunʹ (Belarus)	רדין (בלארוס)	111.7	[53.4541, 26.36187]	[54.05305555555555, 24.997777777777777]	1	gooearth			Q2995176	Q2995176	True	point	Q2995176 P31=urban settlement in Belarus		Raduń	Raduń	[54.05305555555555, 24.997777777777777]	[54.05305555555555, 24.997777777777777]	111.7	0.0	0.0	111.7	True	True	024	WD			1.2
987007565278505171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 050.581280 -> 050.0581280); corrected centre is 2.4 km from Kima	Hochheim am Main (Germany)	הוכהיים אם מיין (גרמניה)	16330	Hochheim am Main (Germany)	הוכהיים אם מיין (גרמניה)	31.0	[50.28915, 8.37156]	[50.01083333333333, 8.350763888888888]	1	gooearth			Q632750	Q632750	True	point	Q632750 P31=wine producing locality / urban municipality in Germany	5.0	Hochheim am Main	Hochheim am Main	[50.01083333333333, 8.350763888888888]	[50.01083333333333, 8.350763888888888]	31.0	0.0	0.0	31.0	True	True	024	WD	[50.02758, 8.37156]	$f 050.581280 -> 050.0581280	32.6
987007562550005171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 048.910835 -> 048.0910835); corrected centre is 3.5 km from Kima	Breisach am Rhein (Germany)	ברייסך אם ריין (גרמניה)	16910	Breisach am Rhein (Germany)	ברייסך אם ריין (גרמניה)	45.0	[48.43249, 7.6268]	[48.028888888889, 7.58]	1	gooearth			Q489911	Q489911	True	point	Q489911 P31=town / European City / urban municipality in Germany / medium regional center	8.3	Breisach	Breisach	[48.028888888889, 7.58]	[48.028888888889, 7.58]	45.0	0.0	0.0	45.0	True	True	024	WD	[48.02262, 7.6268]	$f 048.910835 -> 048.0910835	53.4
987007564489505171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($e 005.622690 -> 005.0622690); corrected centre is 0.3 km from Kima	Crest (France)	קרסט (צרפת)	11894	Crest (France)	קרסט (צרפת)	22.1	[44.73113, 5.30135]	[44.728333333333, 5.0222222222222]	1	gooearth			Q327259	Q327259	True	point	Q327259 P31=commune of France	5.5	Crest	Crest	[44.728333333333, 5.0222222222222]	[44.728333333333, 5.0222222222222]	22.1	0.0	0.0	22.1	True	True	024	WD	[44.73113, 5.02114]	$e 005.622690 -> 005.0622690	25.6
987007562209605171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($e 009.233562 -> 009.0233562, $f 050.622320 -> 050.0622320); corrected centre is 1.8 km from Kima	Seligenstadt (Hesse, Germany)	סליגנשטט (הסה, גרמניה)	14154	Seligenstadt (Hesse, Germany)	סליגנשטט (הסה, גרמניה)	30.2	[50.3092, 9.06944]	[50.044097222222, 8.9753472222222]	1	gooearth			Q516529	Q516529	True	point	Q516529 P31=town / urban municipality in Germany	6.3	Seligenstadt	Seligenstadt	[50.044097222222, 8.9753472222222]	[50.044097222222, 8.9753472222222]	30.2	0.0	0.0	30.2	True	True	024	WD	[50.02916, 8.96434]	$e 009.233562 -> 009.0233562, $f 050.622320 -> 050.0622320	36.7
987007560146505171	20260728-20260803	location-move	nli-coords-wrong	keep-existing+report	medium	Wikidata Q20141185 (NLI only) is 0 km from Kima, 275 km from NLI	Gómez Farías (Michoacán de Ocampo, Mexico)	גומז פאריאס (מיצ'ואקאן דה אוקמפו, מקסיקו)	15071	Gómez Farías (Michoacán de Ocampo, Mexico)	גומז פאריאס (מיצ'ואקאן דה אוקמפו, מקסיקו)	274.8	[19.91667, -102.15]	[18.01898, -100.47523]	1	geonames			Q20141185		False	point	Q20141185 P31=human settlement		Gómez Farías		[18.01898, -100.47523]		274.8	0.0			True		024				0.0
