recordId	category	verdict	heading	dupKey	incomingStatus	incomingHeb	incomingCoords	kimaId	kimaMazal	kimaMazalStatus	kimaHeb	kimaCoords	kimaVariantCount	distanceKm	sharedNames	alsoInKimaId	earlierHeadings	nameMismatch	verdictNote
987007539477605171	dup-variants	same-id	נהר הדווינה המערבית	נהר הדווינה המערבית, Düna River	live	נהר הדווינה המערבית	56.85554, 32.54169	4655	987007539477605171	live	נהר הדווינה המערבית	56.855540805555556, 32.54168769444444	9	0.0	Daugava River | Dvina, Western, River | Düna River | Western Dvina River | Zapadnai͡a Dvina River | Zapadnaya Dvina River | נהר הדווינה המערבית | نهر دفينا الغربي				כימה כבר מצביעה על אותה רשומה
987007552990405171	dup-variants	same-id	ריינבונד	ריינבונד, Confédération du Rhin	live	ריינבונד	50.11667, 8.68333	13887	987007552990405171	live	ריינבונד	50.11666667, 8.68333333	8	0.0	Confederation of the Rhine | Confédération du Rhin | Rheinbund | Rheinische Conföderation | Rhine, Confederation of the, 1806-1813 | ריינבונד | راينبوند				כימה כבר מצביעה על אותה רשומה
987007559631905171	dup-variants	same-id	קוסג (הונגריה)	קוסג (הונגריה), Kőszeg	live	קוסג (הונגריה)	47.38167, 16.55194	9552	987007559631905171	live	קוסג (הונגריה)	47.381666666667, 16.551944444444	5	0.0	Güns (Austria) | Güns (Hungary) | Köszegszerdahely (Hungary) | Kőszeg | Kőszeg (Hungary) | גונס (הונגריה) | קוסג (הונגריה) | كوسيغ (المجر)				כימה כבר מצביעה על אותה רשומה
987007283132605171	dup-variants	same-id	מפרץ בנגל	מפרץ בנגל, Baṅgopasāgara	live	מפרץ בנגל	15.0, 88.0	1762	987007283132605171	live	מפרץ בנגל	15, 88	8	0.0	Bay of Bengal | Baṅgopasāgara | Bengal, Bay of | Bingala Aw | מפרץ בנגל | خليج البنغال				כימה כבר מצביעה על אותה רשומה
987007282300805171	dup-variants	same-id	הים הבלטי	הים הבלטי, Baltiĭskoe more	live	הים הבלטי	58.0, 20.0	1804	987007282300805171	live	הים הבלטי	58, 20	12	0.0	Baltic Sea | Baltiskoye more | Baltiyskoye more | Baltiĭskoe more | East Sea (Europe) | Mare Suevicum | Ostsee (Europe) | הים הבלטי | بحر البلطيق				כימה כבר מצביעה על אותה רשומה
987007554955605171	dup-variants	same-id	מלזיה	מלזיה, Malaĭzii︠a︡	live	מלזיה	2.5, 112.5	6274	987007554955605171	live	מלזיה	3.7805111, 102.31436166666667	10	1139.8	Federation of Malaysia | Ma-lai-hsi-ya | Malaisie | Malaysia | Malaĭzii︠a︡ | Persekutuan Tanah Malaysia | מלזיה | ماليزيا		Malaya		כימה כבר מצביעה על אותה רשומה
987007283261305171	dup-variants	same-id	הים השחור	הים השחור, Marea Neagră	live	הים השחור	44.0, 35.0	1856	987007283261305171	live	הים השחור	43.41, 34.26	14	88.6	Black Sea | Chernoe more | Chernoye more | Chorne more | Euxine Sea | Karadeniz | Marea Neagră | Pontus Euxinus | הים השחור | البحر الأسود				כימה כבר מצביעה על אותה רשומה
987007399687705171	dup-variants	same-id	נחלת יהודה (ראשון לציון, ישראל)	נחלת יהודה (ראשון לציון, ישראל), Nahalat Yehuda (Rishon Letsiyon, Israel)	live	נחלת יהודה (ראשון לציון, ישראל)	31.98589, 34.80624	83086	987007399687705171	live	נחלת יהודה (ראשון לציון, ישראל)	31.98278889, 34.80686944	1	0.3	Nahalat Yehuda (Israel) | Nahalat Yehuda (Rishon LeTsiyon, Israel) | Nahalat Yehuda (Rishon Letsiyon, Israel) | Naḥalat Yehudah (Rishon LeTsiyon, Israel) | Naḥalat Yehudah (Rishon Letsiyon, Israel) | Naḥlat Yehudah (Rishon Letsiyon, Israel) | נחלת יהודה (מועצה מקומית) (ישראל) | נחלת יהודה (מושב) (ישראל) | נחלת יהודה (ראשון לציון, ישראל) | نحلات يهودا (ريشون لتسيون، إسرائيل)				כימה כבר מצביעה על אותה רשומה
987007475697405171	dup-variants	same-id	כפר כנא (ישראל)	כפר כנא (ישראל), Kafar Kannā	live	כפר כנא (ישראל)	32.75303, 35.34658	20496	987007475697405171	live	כפר כנא (ישראל)	32.75, 35.35	11	0.5	Kafar Kanna (Israel) | Kafar Kannā | Kafar Kanā (Israel) | Kafar Qanah (Israel) | Kafr Kanna (Israel) | Kafr Kanā (Israel) | Kafr Qanah (Israel) | Kana, Galilee (Israel) | כפר כנא (ישראל) | כפר כנה (ישראל) | كفر كنا (إسرائيل)				כימה כבר מצביעה על אותה רשומה
987007555126105171	dup-variants	same-id	ארדביל (איראן)	ארדביל (איראן), Ardabīl	live	ארדביל (איראן)	38.26672, 48.34103	12302	987007555126105171	live	ארדביל (איראן)	38.25, 48.3	5	4.0	Ardabīl | Ardabīl (Iran) | Ardebīl (Iran) | ארדביל (איראן) | أردبيل (إيران)				כימה כבר מצביעה על אותה רשומה
